system,year,from_type,to_type,cause,desc,D,S,A,L,direction,is_appt,is_free
Classic Maya City-States,800,hereditary,hereditary,collapse,Classic Maya collapse; individual cities fragment; L drops (0.60→0.30); within-type but key L-conditional case,0.350,0.650,0.550,0.600,appt_to_appt,0,0
Classic Maya City-States,900,hereditary,elective,reconsolidation,Postclassic council governance (Chichen Itza multepal system),0.350,0.650,0.550,0.600,toward_freedom,0,1
Teotihuacan,450,consensus,hereditary,internal,apartment compound stratification increases; elite burials appear c.350-450CE; Cowgill 2015 notes shift toward hierarchi,0.650,0.300,0.500,0.650,toward_appointment,1,0
Tlaxcala Republic,1521,elective,elective,external_shock,Spanish alliance; council system preserved under Spanish colonial rule; D decreases but election mechanism survives,0.600,0.400,0.400,0.550,free_to_free,0,0
Iroquois Confederacy / Haudenosaunee,1722,consensus,consensus,external_shock,Tuscarora admission; sixth nation added; consensus mechanism preserved,0.850,0.250,0.200,0.350,free_to_free,0,0
Iroquois Confederacy / Haudenosaunee,1848,consensus,elective,elite_reform,written constitution introduces elected chiefs alongside traditional sachems,0.850,0.250,0.200,0.350,free_to_free,0,0
Zomia Highland Communities,1950,consensus,consensus,external_shock,"state incorporation campaigns (Burma, China, Laos, Vietnam); D suppressed; consensus forms persist in highland pockets",0.900,0.050,0.050,0.050,free_to_free,0,0
Inca Empire (Tawantinsuyu),1438,hereditary,appointment,internal,Pachacuti decimal administrative system; apu governors appointed by Sapa Inca replacing purely kinship-based provincial ,0.100,0.750,0.800,0.900,appt_to_appt,0,0
Norse Thing System,1000,elective,hereditary,external_shock,Christianisation + Harald Fairhair consolidation; thing survives but kings become hereditary with thing ratification rit,0.750,0.300,0.150,0.300,toward_appointment,1,0
Tiv Segmentary Lineage System,1900,consensus,hereditary,external_shock,British colonial administration imposes warrant chief system; segmentary consensus displaced by hereditary colonial inte,0.900,0.050,0.050,0.200,toward_appointment,1,0
Tang Dynasty,755,hereditary,hereditary,collapse,An Lushan Rebellion; jiedushi fragment central authority; L collapses regionally (0.90→0.40),0.100,0.850,0.900,0.900,appt_to_appt,0,0
Tang Dynasty,960,hereditary,appointment,reconsolidation,Song dynasty restores central keju examination system,0.100,0.850,0.900,0.900,appt_to_appt,0,0
Ottoman Empire,1512,hereditary,hereditary,internal,kafes system; princes imprisoned rather than killed; succession violence reduced but hereditary principle unchanged,0.200,0.800,0.800,0.800,appt_to_appt,0,0
Ottoman Empire,1826,hereditary,appointment,elite_reform,Mahmud II destroys janissary corps; modern conscript army on merit appointments,0.200,0.800,0.800,0.800,appt_to_appt,0,0
Gadaa System,1800,rotation,rotation,external_shock,Oromo expansion into highland Ethiopia; gadaa system contracts geographically but rotation mechanism preserved,0.850,0.300,0.100,0.300,free_to_free,0,0
Gadaa System,1900,rotation,hereditary,external_shock,Ethiopian imperial incorporation; gadaa suppressed; hereditary Amhara administration imposed,0.850,0.300,0.100,0.300,toward_appointment,1,0
Igbo Assemblies,1900,consensus,appointment,external_shock,British indirect rule creates warrant chief system; assembly consensus displaced by appointed colonial intermediaries; A,0.850,0.100,0.100,0.300,toward_appointment,1,0
Greek Aristocracy,-600,hereditary,appointment,elite_reform,Solonian reforms; property-census replaces birth as qualification,0.350,0.550,0.200,0.400,appt_to_appt,0,0
Greek Oligarchy,-508,appointment,elective,elite_reform,Cleisthenic reforms; demokratia replaces oligarchic council,0.350,0.500,0.300,0.500,toward_freedom,0,1
Greek Oligarchy,-403,appointment,elective,elite_reform,Thrasybulus; democracy restored after Thirty Tyrants,0.350,0.500,0.300,0.500,toward_freedom,0,1
Greek Tyranny,-545,charismatic,hereditary,internal,Peisistratos passes power to sons; charismatic seizure becomes dynastic,0.250,0.750,0.250,0.500,toward_appointment,1,0
Swiss Cantonal Democracy,1291,rotation,elective,elite_reform,Federal Charter; Habsburg military service rotations formalised into elected cantonal assemblies; Marchal 2006,0.850,0.200,0.500,0.600,free_to_free,0,0
Kurultai,1229,elective,hereditary,internal,Ögedei succession contested; kurultai increasingly rubber-stamps dynastic line,0.600,0.600,0.200,0.300,toward_appointment,1,0
Kurultai,1260,hereditary,elective,collapse,Toluid Civil War; kurultai authority briefly restored before Kublai consolidates,0.600,0.600,0.200,0.300,toward_freedom,0,1
Andean Tinku,1440,rotation,hereditary,external_shock,Inca incorporation; tinku ritual competition displaced by Inca mit'a system and hereditary kuraka intermediaries appoint,0.700,0.200,0.100,0.300,toward_appointment,1,0
Tokugawa Shogunate,1868,hereditary,hereditary,external_shock,Perry + Satsuma-Choshu; succession type unchanged but A/I/L rise sharply under Meiji,0.150,0.800,0.800,0.750,appt_to_appt,0,0
Confucian Bureaucracy,1644,appointment,hereditary,external_shock,Manchu conquest; Qing emperors inherit Confucian bureaucracy but impose hereditary Manchu bannerman overlay,0.150,0.800,0.950,0.900,appt_to_appt,0,0
Confucian Bureaucracy,1905,hereditary,appointment,elite_reform,Qing abolish keju; Western-style schools replace examination (transitional),0.150,0.800,0.950,0.900,appt_to_appt,0,0
Holy Roman Empire,1356,elective,elective,elite_reform,Golden Bull; seven electors codified; electoral principle formalised,0.450,0.400,0.450,0.550,free_to_free,0,0
Holy Roman Empire,1438,elective,hereditary,internal,Habsburg monopoly on throne; election becomes formality,0.450,0.400,0.450,0.550,toward_appointment,1,0
