System,Start,End,Region,Latitude,Longitude,Historical Epoch,Evidence Strength,Characteristics,Governance Type,Belief System,Gender Roles,Economic Base,Succession Method,Collapse Cause,Recorded By,sovereignty_index,admin_index,competitive_politics_index,exit_freedom,disobedience_freedom,arrangement_freedom,surplus_legibility,info_infrastructure,seasonality,binding_mechanism,scale_population,scale_territory,collapse_mode,gw_discussed,coding_confidence,notes
Lapita Voyaging Networks,-1500,-500,Pacific,-16,167,Iron Age,3,Seafaring clans linked by pottery trade routes,Maritime Segmentary Democracy,Ancestor worship,Gender-mixed,Taro/obsidian,Charismatic,Isolation,Archaeology,0.2,0.4,0.65,0.65,0.8,0.8,0.4,0.3,low,clan,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Olmec Were-Jaguar Cult,-1200,-400,Mesoamerica,18.4,-95.2,Bronze Age,4,Shamanistic rule via jaguar transformation iconography,Iconic Theocracy,Olmec animism,Male priests,Maize farming,Charismatic,Environmental collapse,Archaeology,0.65,0.5,0.35,0.25,0.25,0.1,0.4,0.3,low,none,2,2,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Zhou Dynasty Mandate of Heaven,-1046,-256,China,34.7,113.6,Iron Age,5,Feudal decentralization under ritualized monarchy,Sacred Feudalism,Chinese folk religion,Male nobles,Millet/rice,Hereditary,Qin conquest,Bamboo Annals,0.75,0.45,0.3,0.2,0.05,0.3,0.4,0.6,low,land,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Hallstatt Salt Lords,-1000,-450,Austria,47.6,13.6,Iron Age,3,Salt-mining aristocrats controlling Alpine trade routes,Resource Oligarchy,Celtic polytheism,Male elites,Salt/iron,Hereditary,Roman expansion,Archaeology,0.5,0.45,0.55,0.4,0.2,0.45,0.4,0.3,low,none,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Phoenician Merchant Oligarchies,-1000,-332,Levant,33.9,35.5,Iron Age,5,Harbor city-states ruled by purple-dye cartels,Plutocratic Republic,Phoenician polytheism,Male merchants,Cedar/purple dye,Elective,Alexander's conquest,Ancient historians,0.35,0.55,0.65,0.55,0.65,0.7,0.4,0.3,low,none,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Adena Moundbuilder Councils,-1000,-200,USA,39,-83,Woodland,3,Earthen mound ceremonial centers with elder councils,Ritual Theocracy,Animism,Gender-balanced,Pipeweed,Consensus,Climate change,Archaeology,0.65,0.5,0.35,0.25,0.35,0.3,0.4,0.3,medium,ritual,3,3,climate,False,1,Auto-coded from governance type/characteristics — requires human review
Nok Terracotta Chiefdoms,-1000,300,Nigeria,9.5,8.5,Iron Age,3,Secret society rule through terracotta oracle systems,Ritual Oligarchy,Ancestor worship,Gender-balanced,Yam/iron,Appointment,Climate change,Archaeology,0.5,0.45,0.55,0.4,0.35,0.25,0.4,0.6,low,ritual,3,3,climate,False,1,Auto-coded from governance type/characteristics — requires human review
Andean Ayllu Systems,-1000,1532,Peru,-13.2,-72.2,Bronze Age,5,Kin-based labor reciprocity and terraced farming,Labor Communism,Andean animism,Gender-complementary,Potato/maize,Rotation,Spanish conquest,Archaeology,0.4,0.3,0.4,0.5,0.5,0.6,0.4,0.35,low,none,2,2,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Assyrian Military Autocracy,-911,-609,Mesopotamia,36.4,43.1,Iron Age,5,Professional army enforces king's rule through terror,Military Despotism,Assyrian polytheism,Male soldiers,Tribute economy,Hereditary,Medo-Babylonian revolt,Cuneiform records,0.9,0.5,0.2,0.1,0.0,0.0,0.4,0.3,low,military,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Urartian Hydraulic Kings,-860,-590,Armenia,38.5,43.5,Iron Age,4,Mountain kings building canal networks,Alpine Hydraulic Despotism,Urartian polytheism,Male engineers,Wine/iron,Hereditary,Median invasion,Sargon II,0.9,0.5,0.2,0.1,0.0,0.1,0.4,0.3,low,none,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Phrygian Matar Cult,-800,-600,Turkey,39,31,Iron Age,2,Mother-goddess priestesses vetoing male rulers,Gynocratic Theocracy,Cybele worship,Female-dominated,Textiles/Oracles,Appointment,Lydian conquest,Archaeology,0.65,0.5,0.35,0.25,0.25,0.1,0.4,0.3,low,none,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Etruscan Haruspex Diviners,-800,-100,Italy,42.8,12.4,Iron Age,3,Priest-kings interpreting liver omens for state decisions,Divinatory Autocracy,Etruscan religion,Male priests,Wine trade,Appointment,Roman conquest,Cicero,0.85,0.6,0.2,0.1,0.1,0.2,0.5,0.3,low,none,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Sabaean Dam Council,-800,275,Yemen,15.4,45.3,Classical,3,Hydraulic priests managing Marib Dam allocations,Hydro-Theocracy,Sabaean polytheism,Male priests,Frankincense,Hereditary,Himyarite conquest,Quranic references,0.65,0.5,0.35,0.25,0.1,0.25,0.4,0.6,low,none,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Kingdom of Kush,-780,-350,Sudan,19.6,30.4,Iron Age,4,Nubian pharaohs blending Egyptian and African traditions,Sacred Monarchy,Amun cult,Female co-rulers,Gold mining,Matrilineal,Assyrian invasion,Herodotus,0.75,0.45,0.3,0.2,0.2,0.3,0.6,0.6,low,none,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Scythian Kurgan Diarchy,-700,-300,Ukraine/Kazakhstan,48,68,Iron Age,4,Dual kingship (warrior/priest) with mobile burial capitals,Steppe Dual Monarchy,Tengrism,Male co-rulers,Horse/grains,Elective,Sarmatian invasion,Herodotus,0.75,0.45,0.3,0.2,0.2,0.3,0.7,0.3,low,none,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Etruscan Lucumones,-700,-100,Italy,42.8,12.4,Iron Age,4,City-kings elected from oligarchic leagues,Elective Monarchy,Etruscan religion,Male aristocrats,Wine trade,Appointment,Roman assimilation,Archaeology,0.6,0.3,0.45,0.4,0.4,0.35,0.5,0.2,low,clan/ritual,3,2,absorption,FALSE,2,
Lydian Electrum Oligarchy,-650,-546,Turkey,38,28,Iron Age,3,Merchant-kings minting first coins in Sardis,Plutocratic Autocracy,Anatolian polytheism,Male elites,Silver/gold,Usurpation,Persian conquest,Herodotus,0.4,0.55,0.6,0.55,0.5,0.6,0.4,0.3,low,none,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Persian Satrapy System,-550,-330,Iran,32.4,53.7,Iron Age,5,Regional governors (satraps) under King of Kings,Imperial Bureaucracy,Zoroastrianism,Male nobles,Royal Road taxes,Appointment,Alexander's conquest,Herodotus,0.7,0.85,0.4,0.15,0.15,0.25,0.4,0.3,low,tribute,5,5,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Roman Republic,-509,-27,Italy,41.9,12.5,Iron Age,5,"Mixed government with consuls, senate, and assemblies",Mixed Constitution,Roman polytheism,Male patricians,Slave plantations,Elective,Imperialism,Cicero,0.45,0.6,0.7,0.4,0.5,0.4,0.7,0.65,none,land/patron,4,5,autocracy,FALSE,3,"The Roman transition from Republic to Empire is a textbook lock-in sequence: P (competitive politics) generates military S, which then eliminates D and R."
Athenian Democracy,-508,-322,Greece,37.9,23.7,Iron Age,5,Direct citizen rule with sortition and ostracism,Direct Democracy,Greek polytheism,Male citizens only,Olive trade,Lottery,Macedonian conquest,Thucydides,0.2,0.4,0.65,0.65,0.8,0.8,0.5,0.3,low,none,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Celtic Druidic Synods,-500,-100,Western Europe,48.9,2.3,Iron Age,3,Inter-tribal arbitration by oak-worshiping scholars,Scholastic Oligarchy,Celtic polytheism,Male druids,Ironworking,Appointment,Roman conquest,Caesar,0.5,0.45,0.55,0.4,0.35,0.25,0.4,0.6,low,none,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Roman Collegia Guild Republics,-500,300,Italy,41.9,12.5,Classical,4,Trade guilds (collegia) as parallel governance in Rome,Corporatist Democracy,Imperial cult,Gender-separate,Craftsmanship,Election,Christian bans,Digesta,0.2,0.4,0.65,0.65,0.9,0.8,0.4,0.3,low,none,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Bantu Mfecane Councils,-500,500,Central Africa,-5,23,Iron Age,2,Mobile iron-working clans with age-set governance,Gerontocratic Expansionism,Animism,Gender-restricted,Iron/bananas,Age grades,None (transformation),Oral tradition,0.4,0.3,0.4,0.5,0.5,0.6,0.4,0.15,low,clan,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Proto-Norse Thing Assemblies,-500,800,Scandinavia,60,15,Iron Age,3,Outdoor legal assemblies at sacred rocks,Archaic Democracy,Norse paganism,Male landowners,Iron/amber,Consensus,Christianization,Beowulf,0.2,0.4,0.65,0.65,0.9,0.8,0.4,0.3,low,none,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Zapotec Glyph-Judge System,-500,900,Mexico,17.1,-96.7,Classical,4,City-states ruled via 260-day calendar court sessions,Calendar Bureaucracy,Zapotec religion,Male scribes,Corn/obsidian,Hereditary,Mixtec conquest,Monte Albán ruins,0.7,0.85,0.4,0.15,0.0,0.25,0.4,0.3,low,none,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Berber Amazigh Councils,-500,1500,North Africa,31.8,-5.5,Medieval,3,Matrilineal desert clans with elected war leaders,Tribal Democracy,Amazigh animism,Gender-balanced,Salt caravans,Consensus,Arab conquest,Ibn Khaldun,0.2,0.4,0.65,0.65,0.9,0.75,0.4,0.6,low,clan,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
La Tène Tribal Federations,-450,-50,Switzerland,47,7,Iron Age,4,Decentralized clans united by warrior-artisan elites,Tribal Confederation,Druidism,Gender-mixed,Amber/wool,Elective,Roman conquest,Julius Caesar,0.35,0.2,0.5,0.65,0.65,0.5,0.4,0.3,low,clan,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Rhodes Naval Oligarchy,-408,-164,Greece,36.4,28.2,Classical,4,Merchant admirals enforcing sea laws via bronze tablets,Maritime Plutocracy,Cult of Helios,Male shipowners,Grain trade,Election,Roman annexation,Strabo,0.4,0.55,0.6,0.55,0.6,0.6,0.5,0.3,low,none,3,3,annexation,False,1,Auto-coded from governance type/characteristics — requires human review
Syracusan Mathematical Tyrants,-400,-212,Sicily,37.1,15.3,Classical,4,Geometer-kings using catapults and mirrors for defense,Technocratic Tyranny,Greek rationalism,Male elites,Grain/engineering,Assassination,Roman siege,Plutarch,0.5,0.8,0.3,0.3,0.2,0.1,0.7,0.3,low,none,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Nabatean Water Merchants,-400,106,Jordan,30.3,35.4,Classical,4,Desert traders controlling cisterns and spice routes,Hydraulic Oligarchy,Arab polytheism,Gender-mixed,Incense trade,Hereditary,Roman annexation,Petra inscriptions,0.5,0.45,0.55,0.4,0.2,0.4,0.5,0.6,low,none,3,3,annexation,False,1,Auto-coded from governance type/characteristics — requires human review
Garamantian Foggaras,-400,700,Libya,26,13,Classical,4,Saharan oasis kings managing underground canals,Hydraulic Autocracy,Garamantian religion,Male engineers,Date/slave,Hereditary,Islamic conquest,Herodotus,0.85,0.6,0.2,0.1,0.0,0.2,0.4,0.3,low,coercion,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Theban Sacred Band Oligarchy,-378,-338,Greece,38.3,23.3,Classical,4,150 male couples ruling via military excellence,Military Aristocracy,Greek polytheism,Male warriors,Olive/oil,Merit-based,Macedonian conquest,Plutarch,0.4,0.3,0.4,0.5,0.55,0.4,0.75,0.3,low,military,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Qi Jixia Academy,-350,-221,China,36.8,118.1,Warring States,3,Hundred Schools philosophers advising via debate halls,Scholastic Meritocracy,Syncretic,Male scholars,Millet/silk,Appointment,Qin conquest,Sima Qian,0.4,0.3,0.4,0.5,0.5,0.6,0.4,0.6,low,none,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Mauryan Arthashastra State,-322,-185,India,28.6,77.2,Iron Age,4,Spy-infested bureaucracy per Kautilya's treatise,Police State,Hinduism,Male administrators,Rice taxation,Hereditary,Internal revolt,Arthashastra,0.7,0.85,0.4,0.15,0.0,0.25,0.4,0.8,low,tribute,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Yuezhi Nomad Diarchy,-300,30,Kazakhstan,45,65,Classical,3,Dual kingship (military/spiritual) on Central Asian steppe,Steppe Diarchy,Tengrism,Male co-rulers,Horse trade,Elective,Kushan consolidation,Han chronicles,0.4,0.3,0.4,0.5,0.5,0.6,0.5,0.3,low,military,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Sarmatian Female Warbands,-300,400,Russia/Kazakhstan,47,55,Iron Age,3,Matrilocal horse archer clans with warrior women,Gynocratic Militarism,Animism,Female warriors,Mare's milk,Matrilineal,Gothic invasion,Strabo,0.4,0.3,0.4,0.5,0.5,0.6,0.4,0.3,low,clan,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
D'mt Beehive Councils,-300,700,Eritrea,15,39,Classical,2,Apiary-based priest-kings ruling through honey tax,Melitocratic Theocracy,Sabaean polytheism,Gender-mixed,Honey/incense,Appointment,Axumite conquest,Archaeology,0.65,0.5,0.35,0.25,0.25,0.1,0.4,0.3,low,tribute,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Bactrian Greek Syncretism,-250,125,Afghanistan,36.7,67,Classical,3,Hellenistic-Indian hybrid rule via bilingual coins,Cultural Hybrid Monarchy,Greco-Buddhism,Male elites,Wine/gold,Hereditary,Kushan conquest,Archaeology,0.75,0.45,0.3,0.2,0.05,0.3,0.4,0.3,low,none,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Qin Legalism,-221,-206,China,34.2,108.9,Iron Age,5,Standardized totalitarianism with collective punishment,Totalitarian Autocracy,Legalism,Male bureaucrats,Millet farming,Hereditary,Peasant revolts,Sima Qian,0.85,0.6,0.2,0.1,0.0,0.0,0.4,0.3,low,none,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Han Dynasty Examination Prototype,-202,220,China,34.5,113.6,Classical,4,Meritocratic county recommendations (keju precursor),Merit Bureaucracy,Confucianism,Male scholars,Silk Road,Appointment,Warlord era,Records of the Grand Historian,0.7,0.85,0.4,0.15,0.15,0.25,0.4,0.3,low,none,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Hopewell Copper Exchange,-200,500,USA,39.8,-83.1,Woodland,3,Intertribal cult trading ritual copper across continents,Prestige Sphere,Animism,Gender-mixed,Copper/pipe,Consensus,Climate cooling,Archaeology,0.3,0.15,0.45,0.7,0.8,0.75,0.4,0.3,low,ritual,3,3,climate,False,1,Auto-coded from governance type/characteristics — requires human review
Teotihuacan Theocratic Oligarchy,-200,550,Mexico,19.7,-98.8,Classical,4,Apartment-city ruled by temple guilds and merchant clans,Urban Theocracy,Teotihuacan religion,Gender-balanced,Obsidian trade,Appointment,Internal collapse,Archaeology,0.65,0.5,0.35,0.25,0.25,0.3,0.5,0.3,low,clan,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Mogollon Pit-House Democracies,-200,1400,USA,33,-109,Woodland,2,Underground council houses for village decisions,Subterranean Democracy,Animism,Gender-mixed,Maize/beans,Rotation,Drought,Archaeology,0.2,0.4,0.65,0.65,0.8,0.75,0.4,0.3,low,none,3,3,climate,False,1,Auto-coded from governance type/characteristics — requires human review
Kushan Devaputra,30,375,Afghanistan,36,68,Classical,4,Indo-Greek Buddhist kings syncretizing coin portraits,Syncretic Monarchy,Buddhist-Hindu,Male elites,Silk Road trade,Hereditary,Kidarite invasion,Kanishka inscriptions,0.75,0.45,0.3,0.2,0.05,0.3,0.5,0.6,low,none,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Silla Bone-Rank System,57,935,Korea,35.8,129.2,Classical,4,Aristocratic caste system with sacred bone/bloodline kings,Hereditary Stratocracy,Korean Buddhism,Male nobles,Rice/iron,Hereditary,Goryeo revolt,Samguk Sagi,0.8,0.4,0.35,0.15,0.0,0.05,0.4,0.3,low,none,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Moche Sacrificial Hydraulics,100,800,Peru,-8.1,-79,Classical,4,Priest-kings conducting rituals for canal irrigation,Ritual Autocracy,Moche religion,Male priests,Maize/fishing,Dynastic,El Niño floods,Archaeology,0.85,0.6,0.2,0.1,0.0,0.0,0.2,0.3,low,ritual,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Moche Ceremonial Brewmasters,100,800,Peru,-8.1,-79,Classical,3,Priest-chemists controlling corn beer (chicha) distribution,Fermentation Socialism,Moche religion,Gender-mixed,Maize/peanuts,Appointment,Climate change,Archaeology,0.4,0.3,0.4,0.5,0.5,0.4,0.4,0.3,low,none,3,3,climate,False,1,Auto-coded from governance type/characteristics — requires human review
Champa Linga-Kings,192,1832,Vietnam,11.9,108.9,Classical,3,Hinduized maritime kingdom with phallic-state cults,Iconic Theocracy,Shaivism,Male priests,Sandalwood,Hereditary,Vietnamese conquest,Chinese annals,0.65,0.5,0.35,0.25,0.1,0.3,0.4,0.3,low,none,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Blemmyes Desert Assemblies,200,600,Sudan,22,35,Classical,3,Headless (shield-bearing) nomadic tribunals,Aniconic Democracy,Pre-Islamic animism,Gender-neutral,Camel herding,Consensus,Nubian conquest,Procopius,0.2,0.4,0.65,0.65,0.9,0.6,0.4,0.3,high,none,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Khotanese Buddhist Monarchy,200,1000,China,37.1,79.9,Medieval,3,Mahayana kings ruling via trilingual (Chinese-Tibetan-Saka) edicts,Monastic Kingship,Buddhism,Male monks,Jade trade,Hereditary,Kara-Khanid invasion,Stein expeditions,0.4,0.3,0.4,0.5,0.35,0.6,0.5,0.6,low,none,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Tairona Gold-Shaman Councils,200,1600,Colombia,11.3,-74.1,Classical,3,Mountain priests governing via gold alloy oracles,Metallurgical Theocracy,Animism,Male shamans,Gold/coca,Apprenticeship,Spanish conquest,Archaeology,0.65,0.5,0.35,0.25,0.25,0.1,0.4,0.3,low,none,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
