source,target,edge_type,direction,source_citation,strength
Weimar Republic,Nazi Germany,contrast,directed,Nazi regime explicitly defined against Weimar; direct institutional replacement (Evans 2003 The Coming of the Third Reich),STRONG
French Third Republic,Weimar Republic,comparator,directed,German liberals studied French Third Republic as democratic model (Winkler 2006 Germany: The Long Road West),STRONG
British Parliamentary System,United States Federal Republic,comparator,directed,American founders explicitly engaged with and modified British parliamentary tradition (Wood 1969 The Creation of the American Republic; Bailyn 1967),STRONG
Weimar Republic,Soviet Republics System,contrast,undirected,Weimar and Soviet systems explicitly opposed; mutual ideological definition (Carr 1950 The Bolshevik Revolution; Mommsen 1996),STRONG
Nazi Germany,Soviet Republics System,contrast,undirected,Nazi and Soviet systems explicitly constituted as antipodal; mutual ideological opposition (Snyder 2010 Bloodlands; Evans 2005),STRONG
Soviet Republics System,Chinese Communist Party Governance,comparator,directed,CCP party-state organisation and ideology directly modelled on Soviet system (Meisner 1999 Mao's China and After),STRONG
United States Federal Republic,Norwegian Sovereign Wealth Democracy,contrast,directed,Norwegian social-democratic model developed as explicit alternative to US liberal capitalism (Esping-Andersen 1990 Three Worlds of Welfare Capitalism),STRONG
Venetian Republic,Swiss Cantonal Democracy,parallel,undirected,Venetian republican thought cited in Swiss political writing; shared non-territorial model (Pocock 1975 The Machiavellian Moment),MEDIUM
British Parliamentary System,Singapore Technocracy,contrast,directed,Lee Kuan Yew explicitly adapted and departed from Westminster model (Lee 2000 From Third World to First; Josey 1968),STRONG
United States Federal Republic,Soviet Republics System,contrast,undirected,Cold War mutual ideological opposition; each defined foreign policy against the other (Gaddis 1997 We Now Know),STRONG
Icelandic Commonwealth,Swiss Cantonal Democracy,parallel,undirected,Both cited as assembly-based polities in medieval European political thought; indirect parallel,MEDIUM
Icelandic Commonwealth,Hanseatic League,comparator,undirected,Hanseatic merchants active in Iceland; documented trading contact (Johannesson 1974 A History of the Old Icelandic Commonwealth),MEDIUM
Confucian Bureaucracy,Mughal Empire Akbar Period,parallel,undirected,Jesuit reports explicitly compared Mughal and Chinese imperial systems (Ricci 1615 Della entrata della Compagnia di Giesù; Findley 2005),MEDIUM
Mughal Empire Akbar Period,Ottoman Empire,parallel,undirected,Contemporaneous Islamic empires with documented diplomatic contact and shared caliphal claims (Fleischer 1986 Bureaucrat and Intellectual in the Ottoman Empire),MEDIUM
Aztec Triple Alliance,Habsburg Composite Monarchy,contrast,directed,Spanish (Habsburg) conquest directly replaced Aztec governance; colonial administration documented (Gibson 1964 The Aztecs Under Spanish Rule),STRONG
Roman Republic,Carolingian Empire,comparator,directed,Carolingian coronation 800 CE explicitly invoked Roman imperial model (McKitterick 2008 Charlemagne: The Formation of a European Identity),STRONG
Athenian Democracy,Swiss Cantonal Democracy,comparator,directed,Renaissance humanists invoked Athenian precedents in Swiss cantonal political thought (Hankins 2019 Virtue Politics),MEDIUM
British Parliamentary System,French Third Republic,comparator,directed,French republicans studied Westminster model during Third Republic constitution (Rosanvallon 2007 The Demands of Liberty),STRONG
United States Federal Republic,Weimar Republic,comparator,directed,Hugo Preuss studied US federalism in drafting Weimar constitution (Caldwell 1997 Popular Sovereignty and the Crisis of German Constitutional Law),STRONG
Roman Republic,British Parliamentary System,comparator,directed,Roman law and republican theory central to English constitutional thought; Harrington; Cicero in Founders (Pettit 1997 Republicanism),STRONG
Venetian Republic,British Parliamentary System,comparator,directed,Harrington Oceana (1656) used Venice as primary model for English republicanism (Pocock 1975 The Machiavellian Moment),STRONG
Athenian Democracy,United States Federal Republic,comparator,directed,Founders cited Athens extensively; Federalist Papers discuss Athenian democracy (Ober 2008 Democracy and Knowledge),STRONG
Athenian Democracy,French Third Republic,comparator,directed,French republicans invoked Athenian precedent; Fustel de Coulanges; Third Republic classicism (Hartog 2005 Ancients Moderns Savages),MEDIUM
Roman Republic,French Third Republic,comparator,directed,French republican tradition explicitly Roman: Marianne; fasces; senatorial imagery (Furet 1988 The French Revolution),STRONG
Mauryan Empire,Mughal Empire Akbar Period,comparator,directed,Mughal rulers consciously positioned within Ashokan imperial tradition; Akbar invoked Ashoka (Richards 1993 The Mughal Empire),STRONG
Ottoman Empire,Habsburg Composite Monarchy,contrast,undirected,Ottoman-Habsburg military and ideological opposition 1529-1683; each defined imperial identity against the other (Ágoston 2021 The Last Muslim Conquest),STRONG
Confucian Bureaucracy,British Parliamentary System,contrast,directed,British encounter with Qing bureaucracy; Orientalist contrast between Chinese despotism and British liberty (Viner 1953; Bayly 2004 The Birth of the Modern World),MEDIUM
Ming Dynasty,British Parliamentary System,contrast,directed,Macartney Mission 1793; British Parliamentary reports explicitly contrasted Ming/Qing governance with British constitution (Cranmer-Byng 1962 An Embassy to China),MEDIUM
Abbasid Caliphate,Carolingian Empire,contrast,undirected,Carolingian-Abbasid diplomatic contact documented; Charlemagne embassy to Harun al-Rashid 797 CE (McKitterick 2008),STRONG
Chinese Communist Party Governance,United States Federal Republic,contrast,undirected,Post-1945 Cold War ideological opposition; each defined foreign policy against the other (Gaddis 2005 The Cold War),STRONG
Norwegian Sovereign Wealth Democracy,British Parliamentary System,comparator,directed,Norwegian constitution (1814) modelled on British parliamentary system; Westminster-derived (Sejersted 2011 Freedom and Equality),STRONG
Singapore Technocracy,Chinese Communist Party Governance,contrast,undirected,Singapore and PRC explicitly contrasted developmental models; Lee-Deng ideological exchange documented (Vogel 2011 Deng Xiaoping and the Transformation of China),MEDIUM
Meiji Oligarchy,British Parliamentary System,comparator,directed,Meiji constitution-makers studied British; Prussian; French models; Ito Hirobumi studied Westminster (Pittau 1967 Political Thought in Early Meiji Japan),STRONG
Meiji Oligarchy,United States Federal Republic,comparator,directed,Meiji Japan studied US constitutional model alongside British; Mori Arinori in Washington (Pittau 1967),MEDIUM
Zhou Dynasty Mandate of Heaven,Tang Dynasty,comparator,directed,Tang dynasty Confucian scholars explicitly studied Zhou rites as normative template; Zhou li central to Tang administrative code (McMullen 1988 State and Scholars in Tang China),STRONG
Nazi Germany,United States Federal Republic,contrast,undirected,US defined war aims explicitly against Nazi governance; Roosevelt Four Freedoms 1941; Atlantic Charter; post-war US occupation directly replaced Nazi institutions (Mazower 2008 Hitlers Empire),STRONG
Nazi Germany,British Parliamentary System,contrast,undirected,Churchill explicitly framed WWII as democracy vs tyranny; Nazi ideology defined against British parliamentary liberalism (Evans 2008 The Third Reich at War),STRONG
Ottoman Empire,British Parliamentary System,comparator,directed,Tanzimat reformers (1839-1876) explicitly studied British parliamentary and constitutional models; Mustafa Reshid Pasha in London (Shaw & Shaw 1977 History of the Ottoman Empire and Modern Turkey),STRONG
Mughal Empire Akbar Period,British Parliamentary System,contrast,directed,East India Company-Mughal contact from 1608; British parliamentary debates on India governance explicitly contrasted British and Mughal systems (Bayly 1988 Indian Society and the Making of the British Empire),STRONG
Chinese Communist Party Governance,Confucian Bureaucracy,contrast,directed,CCP explicitly rejected Confucianism (May Fourth Movement legacy) then partially rehabilitated it post-1978; explicit ideological positioning (Goldman & Lee 2002 An Intellectual History of Modern China),STRONG
Meiji Oligarchy,Confucian Bureaucracy,contrast,directed,Meiji Restoration explicitly rejected Confucian civil service model; Imperial Rescript on Education negotiated between Confucian and Western frameworks (Pittau 1967 Political Thought in Early Meiji Japan; Gluck 1985 Japans Modern Myths),STRONG
Icelandic Commonwealth,Norwegian Sovereign Wealth Democracy,comparator,directed,Norwegian political culture draws on shared Norse assembly tradition (thing); Icelandic Althing cited in Scandinavian democratic historiography (Sejersted 2011 Freedom and Equality),MEDIUM
